area_type,availability,location,society,total_sqft,bath,balcony,price,bhk
Super built-up  Area,21-Dec,Kanakpura Road,PrarePa,700.0,2.0,1.0,36.0,2
Super built-up  Area,Ready To Move,Kundalahalli,Dieldli,1724.0,3.0,2.0,125.0,3
Super built-up  Area,19-Dec,Sarjapur  Road,Soini T,1254.0,3.0,2.0,38.0,3
Super built-up  Area,Ready To Move,Ganga Nagar,Ceove G,600.0,1.0,0.0,38.0,1
Super built-up  Area,19-Sep,Kanakpura Road,Soazak ,1330.0,2.0,2.0,91.79,2
Super built-up  Area,Ready To Move,Doddathoguru,LancyRe,970.0,2.0,0.0,33.0,2
Super built-up  Area,20-Sep,Whitefield,Goted U,1459.0,2.0,1.0,94.82,2
Super built-up  Area,Ready To Move,Adarsh Nagar,Bhncyis,1270.0,2.0,1.0,50.0,2
Super built-up  Area,18-Mar,Bhoganhalli,Rosha I,1670.0,3.0,1.0,99.0,3
Built-up  Area,Ready To Move,Whitefield,Suent V,2010.0,3.0,2.0,91.0,3
Super built-up  Area,Ready To Move,Lakshminarayana Pura,RothaVa,1185.0,2.0,2.0,75.0,2
Super built-up  Area,Ready To Move,Yelahanka,NCowsar,1600.0,2.0,3.0,75.0,3
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1200.0,2.0,2.0,44.0,2
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,PeBayle,1500.0,2.0,2.0,185.0,2
Super built-up  Area,Ready To Move,Ganga Nagar,Laavevi,845.0,2.0,1.0,55.0,2
Plot  Area,Ready To Move,Whitefield,Chranya,5700.0,5.0,3.0,650.0,4
Built-up  Area,Ready To Move,Varthur,HioraTr,1160.0,2.0,2.0,44.0,2
Super built-up  Area,18-Apr,Gunjur,BMineis,1140.0,2.0,3.0,43.0,2
Super built-up  Area,20-Aug,Begur Road,Pruthg ,1358.0,2.0,1.0,80.58,2
Super built-up  Area,Ready To Move,Hegde Nagar,Sonosty,1569.0,3.0,1.0,101.0,3
Super built-up  Area,18-Apr,Haralur Road,SNnia E,1240.0,2.0,1.0,70.0,2
Super built-up  Area,Ready To Move,Hennur Road,Anavi B,2089.0,3.0,2.0,140.0,3
Built-up  Area,Ready To Move,Cholanayakanahalli,Viony H,2511.0,3.0,3.0,205.0,3
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,AdentEl,1660.0,2.0,2.0,105.0,3
Super built-up  Area,19-Mar,Yelahanka,Niareum,1326.0,2.0,2.0,78.0,2
Super built-up  Area,Ready To Move,EPIP Zone,SJlynro,1499.0,5.0,2.0,102.0,3
Super built-up  Area,17-Sep,Dasanapura,Tavenew,708.0,2.0,2.0,37.0,2
Super built-up  Area,Ready To Move,Kasavanhalli,Srire S,1060.0,2.0,2.0,58.06,2
Built-up  Area,Ready To Move,Sanjay nagar,Saenti ,1000.0,2.0,2.0,70.0,2
Super built-up  Area,17-Aug,Thanisandra,Bhmesy ,1296.0,2.0,3.0,80.0,2
Plot  Area,Ready To Move,Kengeri,Goardth,2894.0,4.0,1.0,245.0,4
Super built-up  Area,Ready To Move,Yeshwanthpur,IBityin,2502.0,3.0,3.0,138.0,3
Built-up  Area,Ready To Move,Chandapura,KHityry,650.0,1.0,1.0,17.0,2
Plot  Area,Ready To Move,Kothanur,BDensar,2400.0,2.0,1.0,150.0,3
Super built-up  Area,Ready To Move,Green View Layout,Makeser,1007.0,2.0,2.0,43.0,2
Super built-up  Area,Ready To Move,Shantiniketan Layout,Maest N,1200.0,2.0,2.0,50.0,2
Built-up  Area,Ready To Move,Rajaji Nagar,Brway G,1640.0,3.0,2.0,229.0,3
Super built-up  Area,19-Apr,Devanahalli,Oznuean,1260.0,2.0,2.0,66.78,2
Super built-up  Area,Ready To Move,Byatarayanapura,Reeroce,1413.0,2.0,2.0,75.0,3
Super built-up  Area,Ready To Move,Whitefield,Sonviik,1116.0,2.0,1.0,51.91,2
Super built-up  Area,Ready To Move,Electronic City,DSgmax ,1530.0,2.0,1.0,45.9,3
Built-up  Area,Ready To Move,Sarjapur  Road,Cetattu,2497.0,3.0,2.0,140.0,3
Super built-up  Area,Ready To Move,Kengeri,Vaens G,1540.0,2.0,3.0,64.0,3
Super built-up  Area,Ready To Move,Thanisandra,Moity S,1427.0,3.0,2.0,120.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,HiahsLa,2061.0,3.0,1.0,200.0,3
Super built-up  Area,18-Mar,Hebbal,SNontle,5611.0,4.0,0.0,477.0,4
Super built-up  Area,22-Dec,Devanahalli,Sabixtt,1282.0,2.0,2.0,68.52,3
Built-up  Area,Ready To Move,LB Shastri Nagar,Sragei ,1600.0,3.0,2.0,65.0,3
Super built-up  Area,Ready To Move,Hormavu,SyidaCr,1500.0,2.0,1.0,78.0,2
Built-up  Area,Ready To Move,Peenya,Jahts H,1870.0,3.0,3.0,110.0,3
Plot  Area,Ready To Move,Sarjapur,Inensba,1600.0,3.0,1.0,75.0,3
Super built-up  Area,Ready To Move,Electronic City,Itelaa ,880.0,1.0,1.0,16.5,2
Super built-up  Area,Ready To Move,Kudlu Gate,Srier P,1535.0,3.0,2.0,83.0,3
Built-up  Area,Ready To Move,Kanakpura Road,Wiowsri,950.0,2.0,1.0,57.0,2
Super built-up  Area,18-Aug,Devanahalli,Derdsig,1360.0,2.0,1.0,65.0,2
Super built-up  Area,19-Mar,8th Phase JP Nagar,Vaarech,1073.0,2.0,0.0,54.005,2
Super built-up  Area,19-Jan,Chandra Layout,TiaksAa,1260.0,2.0,2.0,85.05,3
Super built-up  Area,19-Dec,Yelahanka,LedorSa,3050.0,5.0,1.0,213.0,5
Super built-up  Area,Ready To Move,Kasavanhalli,HMwerCo,1563.0,3.0,1.0,105.0,3
Super built-up  Area,17-Jul,Anandapura,ViensRK,1167.0,2.0,1.0,43.76,2
Super built-up  Area,Ready To Move,Kengeri Satellite Town,HoiewLa,890.0,2.0,1.0,35.0,2
Super built-up  Area,Ready To Move,Basavanapura,Dwity T,1612.0,3.0,3.0,46.74,3
Super built-up  Area,19-Apr,Mysore Road,Brama P,1710.0,4.0,2.0,91.31,3
Super built-up  Area,Ready To Move,Kannamangala,VBownre,957.0,2.0,1.0,58.0,2
Super built-up  Area,Ready To Move,Hulimavu,Prcan P,1125.0,2.0,2.0,50.0,2
Super built-up  Area,18-Jul,Electronic City Phase II,Sryalan,1020.0,2.0,1.0,30.6,2
Super built-up  Area,Ready To Move,Thanisandra,Soitya ,1735.0,3.0,3.0,135.0,3
Super built-up  Area,Ready To Move,Thanisandra,G conTh,2050.0,3.0,1.0,145.0,3
Super built-up  Area,18-May,Hosa Road,SStusan,1063.0,2.0,1.0,32.0,2
Super built-up  Area,Ready To Move,Keshava Nagar,ETens G,1904.0,3.0,1.0,150.0,3
Super built-up  Area,Ready To Move,RMV Extension,Hohnari,2000.0,3.0,1.0,175.0,3
Super built-up  Area,18-Dec,Sarjapur,Kinuerg,1242.0,2.0,0.0,43.49,2
Super built-up  Area,Ready To Move,Tejaswini Nagar,Naods W,1425.0,2.0,2.0,75.0,3
Super built-up  Area,Ready To Move,Electronic City,GMown E,1500.0,2.0,1.0,64.5,3
Built-up  Area,Ready To Move,Electronic City,GMown E,1060.0,2.0,1.0,60.0,2
Built-up  Area,Ready To Move,Jai Bheema Nagar,Sancyra,1470.0,2.0,2.0,70.0,3
Super built-up  Area,Ready To Move,Attibele,Jae 1hu,450.0,1.0,1.0,11.0,1
Super built-up  Area,18-Apr,Electronic City,Prarkun,1152.0,2.0,1.0,64.5,2
Super built-up  Area,Ready To Move,Electronic City,GMown E,1350.0,2.0,1.0,56.0,3
Super built-up  Area,Ready To Move,CV Raman Nagar,Srshq T,1550.0,3.0,3.0,65.0,3
Super built-up  Area,Ready To Move,Malleshwaram,Utntspa,705.0,1.0,2.0,67.0,1
Built-up  Area,Ready To Move,Electronic City,GMown E,770.0,1.0,1.0,36.0,2
Super built-up  Area,Ready To Move,Hulimavu,Aniona ,1242.0,2.0,3.0,51.0,2
Super built-up  Area,Ready To Move,Hebbal Kempapura,Goateds,1700.0,3.0,2.0,155.0,3
Super built-up  Area,Ready To Move,Thanisandra,Soitya ,2144.0,3.0,2.0,145.0,3
Super built-up  Area,21-Jun,Vijayanagar,Saahaat,1704.0,3.0,2.0,110.0,3
Super built-up  Area,Ready To Move,Electronic City,GMown E,1070.0,2.0,1.0,52.0,2
Built-up  Area,Ready To Move,Electronic City,GMown E,1025.0,2.0,1.0,46.0,2
Super built-up  Area,Ready To Move,KR Puram,MCvarar,1277.0,2.0,0.0,56.8,2
Super built-up  Area,Ready To Move,Marathahalli,VRave E,1200.0,2.0,2.0,52.0,2
Super built-up  Area,Ready To Move,Pattandur Agrahara,MaidoPl,1550.0,2.0,3.0,80.0,3
Super built-up  Area,Ready To Move,Marathahalli,Aiitya ,1200.0,2.0,2.0,60.0,2
Super built-up  Area,Ready To Move,Yelahanka,PuziaVe,1327.0,2.0,2.0,98.0,2
Super built-up  Area,Ready To Move,HSR Layout,NRosete,1400.0,3.0,2.0,56.0,3
Built-up  Area,Ready To Move,Whitefield,Sancya ,1225.0,2.0,2.0,47.6,2
Built-up  Area,Ready To Move,Kadugodi,MSingco,1260.0,2.0,2.0,54.0,3
Super built-up  Area,Ready To Move,Yelahanka,Pyikad ,1282.0,2.0,2.0,48.7,3
Super built-up  Area,Ready To Move,Kogilu,CaIRSCr,1909.0,3.0,2.0,88.0,3
Super built-up  Area,Ready To Move,Panathur,Prcesvy,1359.0,2.0,1.0,87.0,2
Super built-up  Area,Ready To Move,Kammasandra,Emstael,1595.0,3.0,2.0,65.0,3
Super built-up  Area,Ready To Move,Electronics City Phase 1,SNdri N,1475.0,3.0,2.0,78.29,3
Super built-up  Area,Ready To Move,Tala Cauvery Layout,HodhiSa,1580.0,3.0,3.0,100.0,3
Super built-up  Area,Ready To Move,Dasarahalli,Syonyph,1295.0,2.0,1.0,65.0,2
Super built-up  Area,Ready To Move,Electronic City,Itvir M,589.0,1.0,1.0,27.0,1
Super built-up  Area,18-Dec,Sarjapur  Road,Klark L,1787.0,3.0,2.0,98.29,3
Super built-up  Area,Ready To Move,Sarjapur  Road,Klark L,1787.0,3.0,2.0,125.0,3
Super built-up  Area,Ready To Move,Koramangala,Piityra,1475.0,2.0,3.0,90.0,3
Super built-up  Area,19-Mar,Sarjapur  Road,AsastDe,984.0,2.0,1.0,44.28,2
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,MacleK ,2405.0,4.0,2.0,260.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1080.0,2.0,2.0,72.0,2
Super built-up  Area,Ready To Move,Budigere,PrityTr,1153.0,2.0,2.0,56.4,2
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,AlEcone,1148.0,2.0,2.0,60.0,2
Super built-up  Area,Ready To Move,Mylasandra,Laowsba,1110.0,2.0,2.0,55.0,2
Built-up  Area,Ready To Move,Electronic City,Saave R,1100.0,2.0,2.0,42.0,2
Super built-up  Area,Ready To Move,Kalyan nagar,Anave S,1290.0,2.0,2.0,110.0,2
Super built-up  Area,21-Jun,Vijayanagar,Saityat,1933.0,3.0,1.0,129.0,3
Super built-up  Area,18-Aug,Chandapura,SunceEs,645.0,1.0,1.0,16.45,1
Super built-up  Area,18-Sep,Chandapura,SunceEs,645.0,1.0,1.0,16.45,1
Super built-up  Area,Ready To Move,Ashwath Nagar,SJcerpe,1644.0,3.0,3.0,84.0,3
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,Supams ,1285.0,2.0,3.0,72.5,2
Super built-up  Area,Ready To Move,Electronic City,CoapeSo,910.0,2.0,1.0,40.0,2
Super built-up  Area,Ready To Move,Kothanur,Bisic C,1577.0,3.0,1.0,70.0,3
Plot  Area,17-May,Meenakunte,Sreat R,4050.0,3.0,2.0,280.0,3
Super built-up  Area,Ready To Move,OMBR Layout,Inntsa ,2420.0,3.0,2.0,185.0,3
Super built-up  Area,Ready To Move,Chandapura,KHityry,800.0,1.0,1.0,20.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1270.0,2.0,2.0,93.0,2
Super built-up  Area,17-Jun,Electronic City,Prarkun,1108.0,2.0,1.0,63.0,2
Super built-up  Area,Ready To Move,Coffee Board Layout,Calyxy ,3045.0,3.0,2.0,170.0,3
Plot  Area,Ready To Move,Ambedkar Nagar,Thessrm,2900.0,3.0,2.0,300.0,4
Super built-up  Area,Ready To Move,Vijayanagar,JJortom,1500.0,3.0,2.0,75.5,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1295.0,2.0,2.0,43.9,2
Super built-up  Area,Ready To Move,Budigere,PrityTr,1162.0,2.0,1.0,59.9,2
Super built-up  Area,Ready To Move,Sarjapur  Road,Usquaya,1035.0,2.0,2.0,49.2,2
Built-up  Area,Ready To Move,Attibele,Natic T,1600.0,4.0,0.0,52.8,4
Super built-up  Area,18-Oct,Hennur Road,DSapeSk,1866.0,2.0,2.0,61.58,3
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,Jahtsa ,700.0,1.0,1.0,26.0,2
Super built-up  Area,Ready To Move,Kalena Agrahara,Prillot,1804.0,3.0,2.0,120.0,3
Super built-up  Area,21-Dec,Talaghattapura,Sodgere,1868.0,3.0,2.0,131.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,2026.0,3.0,2.0,132.0,3
Super built-up  Area,Ready To Move,Balagere,Soestin,1210.0,2.0,1.0,80.9,2
Plot  Area,Ready To Move,Meenakunte,Sreat R,4111.0,4.0,2.0,250.0,4
Super built-up  Area,Ready To Move,Kadugodi,Alestrb,1762.0,3.0,3.0,91.45,3
Super built-up  Area,Ready To Move,Jigani,DLhtsen,1252.0,3.0,3.0,55.0,3
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,Mauner ,861.0,2.0,1.0,34.5,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1420.0,2.0,1.0,100.0,3
Built-up  Area,Ready To Move,Electronics City Phase 1,GaicaVe,1490.0,3.0,1.0,78.8,3
Super built-up  Area,18-Aug,Old Madras Road,Saesttt,1425.0,2.0,2.0,94.0,3
Built-up  Area,Ready To Move,Kalena Agrahara,Nae 2El,1200.0,2.0,1.0,40.0,2
Super built-up  Area,Ready To Move,Silver Springs Layout,Bhinglv,1084.0,2.0,2.0,50.0,2
Super built-up  Area,18-Jul,Chandapura,SunceEs,1015.0,2.0,2.0,25.88,2
Super built-up  Area,21-May,Kanakpura Road,GolusLi,1017.0,2.0,1.0,51.25,2
Super built-up  Area,Ready To Move,Electronic City Phase II,Coush W,1069.0,2.0,2.0,45.0,2
Super built-up  Area,Ready To Move,Hebbal,Prersis,1349.0,2.0,1.0,98.2,2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,1005.0,2.0,1.0,50.0,2
Super built-up  Area,Ready To Move,Jakkur,Arzzo P,1417.0,2.0,3.0,75.0,2
Carpet  Area,Ready To Move,Maruthi Sevanagar,SMikaay,950.0,2.0,2.0,47.0,2
Super built-up  Area,Ready To Move,RMV 2nd Stage,Prave E,2000.0,4.0,0.0,120.0,4
Super built-up  Area,Ready To Move,Sarjapur  Road,Ahriaup,1863.0,3.0,2.0,104.0,4
Super built-up  Area,Ready To Move,Singasandra,Priewhi,1010.0,2.0,1.0,29.5,2
Super built-up  Area,Ready To Move,Kalena Agrahara,Shodsth,1425.0,2.0,1.0,70.0,3
Super built-up  Area,Ready To Move,Vijayanagar,Swadeh ,1450.0,3.0,0.0,100.0,3
Super built-up  Area,Ready To Move,Kothanur,Somumys,1847.0,3.0,2.0,105.0,3
Super built-up  Area,Ready To Move,AECS Layout,Soran U,1100.0,2.0,3.0,45.0,2
Super built-up  Area,20-Dec,Kanakpura Road,PrarePa,525.0,1.0,1.0,26.0,1
Super built-up  Area,Ready To Move,Mallasandra,Puestig,1665.0,3.0,2.0,95.0,3
Super built-up  Area,Ready To Move,Begur,Prntsrt,1664.0,4.0,3.0,65.0,4
Super built-up  Area,Ready To Move,JP Nagar,Maerar ,1850.0,3.0,3.0,150.0,3
Super built-up  Area,Ready To Move,Panathur,Vaesh T,1438.0,2.0,3.0,100.0,2
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,MaisePa,1560.0,3.0,3.0,115.0,3
Super built-up  Area,Ready To Move,Kanakpura Road,JRrnauv,1550.0,3.0,3.0,67.0,3
Super built-up  Area,Ready To Move,Whitefield,Gotis A,1280.0,2.0,2.0,75.0,2
Super built-up  Area,Ready To Move,Motappa Layout,Puodse ,1113.0,2.0,1.0,51.0,2
Super built-up  Area,Ready To Move,Hennur Road,Mileeou,1385.0,2.0,1.0,83.09,2
Super built-up  Area,18-Apr,Electronic City,Prarkun,1128.0,2.0,1.0,65.0,2
Super built-up  Area,Ready To Move,Rajaji Nagar,PhestOn,2390.0,3.0,2.0,415.0,3
Super built-up  Area,Ready To Move,Haralur Road,NRowse ,1464.0,3.0,2.0,56.0,3
Super built-up  Area,Ready To Move,Kaval Byrasandra,Abncy R,1200.0,2.0,2.0,52.0,2
Super built-up  Area,Ready To Move,Kaggalipura,Baowsig,1150.0,2.0,1.0,55.0,3
Built-up  Area,Ready To Move,Basavanna Nagar,Itala A,1645.0,3.0,2.0,95.0,3
Super built-up  Area,Ready To Move,6th Phase JP Nagar,HMinebo,1192.0,2.0,2.0,74.0,2
Super built-up  Area,Ready To Move,Ulsoor,K borja,2135.0,3.0,2.0,215.0,3
Super built-up  Area,19-Dec,Whitefield,Oreldhi,1173.0,2.0,1.0,58.0,2
Built-up  Area,Ready To Move,Uttarahalli,Sungspr,1020.0,2.0,2.0,45.0,2
Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,3122.0,6.0,2.0,230.0,4
Super built-up  Area,Ready To Move, Devarachikkanahalli,Clntsrt,1250.0,2.0,2.0,40.0,2
Super built-up  Area,Ready To Move,Kalena Agrahara,PuamaPa,1325.0,2.0,2.0,76.0,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,Brngsal,1850.0,3.0,1.0,150.0,3
Super built-up  Area,18-Jun,Bommasandra,SSestth,1260.0,3.0,1.0,49.36,3
Super built-up  Area,Ready To Move,Prashanth Nagar,Vancy R,1800.0,3.0,0.0,150.0,3
Plot  Area,18-Dec,Suragajakkanahalli,PrhyaK ,11.0,3.0,2.0,74.0,3
Built-up  Area,Ready To Move,Ardendale,Miwel M,1100.0,2.0,1.0,43.25,2
Super built-up  Area,Ready To Move,Harlur,SrEndPo,1508.0,2.0,1.0,77.0,2
Carpet  Area,Ready To Move,Sampigehalli,Puens G,1592.0,3.0,2.0,75.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,SagasSa,1388.0,2.0,3.0,57.0,2
Super built-up  Area,18-May,Electronic City Phase II,SNbay G,630.0,1.0,1.0,28.35,1
Super built-up  Area,Ready To Move,Kodihalli,Soianal,3252.0,5.0,3.0,335.0,4
Super built-up  Area,18-Aug,Magadi Road,Vrenty ,1116.0,2.0,1.0,50.0,2
Super built-up  Area,Ready To Move,Narayanapura,AriosHe,1308.0,2.0,2.0,89.04,2
Super built-up  Area,Ready To Move,Hennur,SLureSi,1075.0,2.0,1.0,52.0,2
Super built-up  Area,18-Mar,Chandapura,Siissi ,530.0,1.0,0.0,11.66,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,Mangsr ,1075.0,2.0,2.0,60.0,2
Built-up  Area,Ready To Move,KR Puram,HovasTe,930.0,2.0,2.0,39.0,2
Super built-up  Area,Ready To Move,Balagere,Exncene,1380.0,2.0,1.0,60.0,2
Super built-up  Area,Ready To Move,Hebbal,Prersis,2483.0,5.0,2.0,212.0,4
Built-up  Area,Ready To Move,Kodigehaali,Shyas S,1166.0,2.0,2.0,55.0,2
Super built-up  Area,Ready To Move,Bannerghatta Road,NadelCi,1050.0,2.0,1.0,65.0,2
Super built-up  Area,19-Mar,Gopalapura,Sothadr,2023.0,3.0,2.0,275.0,3
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1200.0,2.0,2.0,46.8,2
Super built-up  Area,Ready To Move,Lakshminarayana Pura,Puarent,1600.0,2.0,1.0,108.0,3
Super built-up  Area,Ready To Move,Billekahalli,MaionPa,1935.0,3.0,2.0,110.0,3
Super built-up  Area,18-May,8th Phase JP Nagar,Maian M,451.0,1.0,0.0,29.9,1
Super built-up  Area,Ready To Move,Electronic City,ShstaAl,1800.0,3.0,2.0,95.0,3
Super built-up  Area,18-May,Jalahalli,Shard T,1400.0,3.0,0.0,77.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1801.0,3.0,2.0,115.0,3
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1160.0,2.0,2.0,44.0,2
Super built-up  Area,Ready To Move,Kanakpura Road,Wiowsri,950.0,2.0,1.0,40.0,2
Super built-up  Area,21-Jun,Vijayanagar,Saityat,1826.0,3.0,2.0,121.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1245.0,2.0,1.0,94.0,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Lancyey,1145.0,2.0,2.0,45.79,2
Super built-up  Area,Ready To Move,Sompura,Suiseit,825.0,2.0,1.0,33.0,2
Super built-up  Area,18-Aug,Yeshwanthpur,Aroomba,1693.0,3.0,3.0,108.0,3
Super built-up  Area,Ready To Move,Electronics City Phase 1,Courf T,1113.0,2.0,2.0,53.0,2
Built-up  Area,Ready To Move,Ashirvad Colony,VMowsea,1460.0,2.0,1.0,58.0,2
Built-up  Area,Ready To Move,Doddathoguru,S onsMa,1050.0,2.0,1.0,32.0,2
Built-up  Area,Ready To Move,Dodda Nekkundi,Tuentpa,1260.0,2.0,2.0,55.0,2
Built-up  Area,Ready To Move,Hosur Road,Tovesee,1656.0,2.0,1.0,120.0,2
Super built-up  Area,Ready To Move,Chandapura,Vailsaf,1208.0,3.0,1.0,45.0,3
Super built-up  Area,Ready To Move,Whitefield,BrlisCo,1910.0,3.0,2.0,161.0,3
Super built-up  Area,Ready To Move,Whitefield,Haestt ,3252.0,4.0,1.0,230.0,4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1175.0,2.0,1.0,82.0,2
Super built-up  Area,Ready To Move,Rajaji Nagar,PhestOn,2390.0,3.0,2.0,410.0,3
Super built-up  Area,Ready To Move,Kengeri,VBvenal,750.0,2.0,1.0,38.0,2
Super built-up  Area,Ready To Move,Kanakpura Road,JRrnauv,1550.0,3.0,3.0,64.5,3
Built-up  Area,Ready To Move,Amco Colony,Hoeatan,1760.0,3.0,2.0,88.0,3
Super built-up  Area,Ready To Move,Billekahalli,Asity S,1125.0,2.0,2.0,62.0,2
Super built-up  Area,Ready To Move,Budigere,PrityTr,1991.0,4.0,2.0,103.0,3
Super built-up  Area,18-Oct,Bommasandra,DSoodil,1060.0,2.0,1.0,26.5,2
Super built-up  Area,Ready To Move,Ambalipura,SJarkte,1105.0,2.0,1.0,75.0,2
Built-up  Area,Ready To Move,Hoodi,Dhgraas,985.0,2.0,2.0,67.0,2
Super built-up  Area,17-Jul,Balagere,HiqueMa,1590.0,3.0,2.0,79.0,3
Super built-up  Area,Ready To Move,CV Raman Nagar,Srshq T,1120.0,2.0,2.0,55.0,2
Super built-up  Area,Ready To Move,Samethanahalli,SPontna,1069.0,2.0,1.0,55.0,2
Super built-up  Area,Ready To Move,Marathahalli,Prionad,1933.0,3.0,2.0,140.0,3
Built-up  Area,16-Mar,Hosur Road,PuendWe,1194.0,2.0,0.0,69.0,2
Super built-up  Area,Ready To Move,Brookefield,Danna S,1150.0,2.0,3.0,69.0,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1419.0,2.0,2.0,48.1,2
Super built-up  Area,Ready To Move,Suddaguntepalya,MSanaer,1450.0,3.0,2.0,55.0,3
Super built-up  Area,18-Jul,Udayapur Village,Plowsri,1630.0,3.0,2.0,68.29,3
Super built-up  Area,Ready To Move,Dasanapura,Tavenew,708.0,1.0,1.0,40.0,2
Super built-up  Area,Ready To Move,Bellandur,Ocavees,1250.0,2.0,1.0,76.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1400.0,2.0,1.0,95.0,3
Super built-up  Area,Ready To Move,Ardendale,SoystAm,1750.0,3.0,2.0,100.0,3
Super built-up  Area,Ready To Move,Vittasandra,Prlla C,1404.0,2.0,1.0,71.0,2
Super built-up  Area,Ready To Move,Hoodi,SMaxyay,1715.0,2.0,2.0,95.0,3
Built-up  Area,18-Apr,Electronic City,Prarkun,630.0,1.0,1.0,34.65,1
Super built-up  Area,Ready To Move,Harlur,SosicCl,1752.0,3.0,2.0,135.0,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1295.0,2.0,1.0,55.47,2
Plot  Area,Ready To Move,Giri Nagar,Bancyri,1800.0,3.0,2.0,252.0,3
Super built-up  Area,18-Sep,Sarjapur  Road,PualeSk,1346.0,2.0,1.0,74.03,2
Super built-up  Area,Ready To Move,Hormavu,ElavuHo,1150.0,2.0,2.0,55.0,2
Built-up  Area,Ready To Move,Chikkabidarakallu,Gontyol,3309.0,4.0,3.0,325.0,4
Super built-up  Area,18-May,Chandapura,SunceEs,1190.0,2.0,2.0,30.35,3
Super built-up  Area,Ready To Move,AECS Layout,DSutyng,1620.0,3.0,2.0,98.0,3
Super built-up  Area,Ready To Move,1 Giri Nagar,Bancyri,5000.0,9.0,3.0,360.0,11
Super built-up  Area,Ready To Move,Harlur,SrEndPo,2450.0,3.0,0.0,120.0,3
